finding_id,audit_id,severity,category,iosa_discipline_code,standard_ref,description,risk_index,date_raised,date_closed,due_date,status,repeat_flag,root_cause,responsible_owner,probability_score,closed_on_time
1,1,Low,Facilities,DSP,DSP 3.4.1,Synthetic finding 1 in facilities category.,2,2022-01-25,2022-03-15,2022-04-23,Closed,False,Procedure not followed,Owner 08,2,True
2,1,High,Equipment,ORG,ORG 1.7.5,Synthetic finding 2 in equipment category.,12,2022-02-04,2022-04-05,2022-03-13,Closed,True,Training gap,Owner 19,3,False
3,1,Medium,Training,FLT,FLT 2.2.16B,Synthetic finding 3 in training category.,4,2022-01-27,2022-05-10,2022-04-26,Closed,False,Procedure not followed,Owner 05,2,False
4,1,Medium,Equipment,DSP,DSP 4.3.13,Synthetic finding 4 in equipment category.,6,2022-02-04,2022-04-06,2022-03-18,Closed,False,Resource limitation,Owner 16,3,False
5,1,Medium,Documentation,DSP,DSP 4.1.5,Synthetic finding 5 in documentation category.,6,2022-01-21,2022-05-05,2022-04-09,Closed,False,Procedure not followed,Owner 06,3,False
6,1,High,Human Factors,DSP,DSP 3.3.1,Synthetic finding 6 in human factors category.,12,2022-01-30,,2022-04-08,Overdue,True,Procedure not followed,Owner 13,3,False
7,1,Medium,Training,FLT,FLT 3.13.6,Synthetic finding 7 in training category.,8,2022-01-27,2022-03-30,2022-04-25,Closed,False,Resource limitation,Owner 02,4,True
8,1,Low,Operations,ORG,ORG 4.1.2,Synthetic finding 8 in operations category.,1,2022-01-30,,2022-04-25,Overdue,False,Procedure not followed,Owner 05,1,False
9,1,Critical,Documentation,DSP,DSP 3.6.5A,Synthetic finding 9 in documentation category.,20,2022-01-24,,2022-02-27,Overdue,False,Procedure not followed,Owner 09,4,False
10,1,Low,Equipment,ORG,ORG 2.1.2,Synthetic finding 10 in equipment category.,2,2022-01-26,,2022-04-01,Overdue,False,Documentation gap,Owner 15,2,False
11,1,Medium,Training,FLT,FLT 3.12.1,Synthetic finding 11 in training category.,6,2022-01-31,,2022-03-17,Overdue,False,Process design,Owner 19,3,False
12,1,Medium,Equipment,ORG,ORG 1.6.2,Synthetic finding 12 in equipment category.,10,2022-01-30,2022-04-25,2022-03-14,Closed,False,Resource limitation,Owner 06,5,False
13,2,Medium,Equipment,FLT,FLT 3.11.60,Synthetic finding 13 in equipment category.,6,2023-04-22,2023-06-09,2023-06-30,Closed,False,Procedure not followed,Owner 14,3,True
14,2,High,Human Factors,FLT,FLT 3.12.2,Synthetic finding 14 in human factors category.,12,2023-04-20,,2023-06-09,Overdue,False,Process design,Owner 07,3,False
15,2,Medium,Equipment,ORG,ORG 1.2.1,Synthetic finding 15 in equipment category.,10,2023-04-23,2023-06-17,2023-07-21,Closed,False,Process design,Owner 20,5,True
16,2,Medium,Human Factors,DSP,DSP 3.2.8B,Synthetic finding 16 in human factors category.,4,2023-04-20,2023-06-05,2023-05-21,Closed,False,Documentation gap,Owner 19,2,False
17,2,High,Operations,FLT,FLT 2.2.14,Synthetic finding 17 in operations category.,20,2023-04-20,2023-06-11,2023-07-09,Closed,True,Training gap,Owner 01,5,True
18,2,Low,Training,DSP,DSP 2.1.1,Synthetic finding 18 in training category.,2,2023-04-15,2023-06-21,2023-05-26,Closed,False,Process design,Owner 16,2,False
